,Game,Day Since Release,Price,Userscore (Metascore),Owners,Playtime (Median)
1643,Masterspace,428,699,999999,4379,611
1644,X-note,153,1999,999999,11062,201
1645,Flower Shop: Winter In Fairbrook,322,749,999999,17053,259
1646,The Tomorrow War,441,99,999999,25349,137
1647,The Lost Valley,59,499,999999,1131,107
1648,Trainz: Murchison 2,1700,659,999999,29037,23
1649,Mining & Tunneling Simulator,470,249,999999,16592,107
1650,Salvation Prophecy,619,399,999999,27654,349
1651,F-117A Nighthawk Stealth Fighter 2.0,231,349,999999,9909,104
1652,Sentris,300,1399,999999,1383,10
1653,Fatty Maze's Adventures,119,599,999999,6222,23
1654,Emergency 2014,580,999,999999,28345,1037
1655,Plant Tycoon,2593,999,999999,7374,2543
1656,Panzer Elite Action Fields of Glory,398,499,999999,5070,403
1657,Cubic,262,494,999999,1336,0
1658,Mars Colony: Challenger,471,999,999999,4379,514
1659,New York Bus Simulator,316,669,999999,1002,356
1660,ATLAS レジェンドパック,161,2499,999999,566,0
1661,DIG IT! - A Digger Simulator,247,1079,999999,10601,620
1662,Hacker Evolution - Untold,1738,199,999999,158319,147
1663,Sparkle 3 Genesis,55,249,999999,1844,143
1664,Vector Thrust,301,1339,999999,5992,206
1665,Star Trek™: Judgment Rites,41,599,999999,2074,324
1666,Data Hacker: Corruption,239,249,999999,10831,57
1667,Gunship!,342,349,999999,8757,7
1668,Agricultural Simulator 2012: Deluxe Edition,62,199,999999,566,1
1669,Cahors Sunset,156,149,999999,7144,30
1670,Bloop Reloaded,132,499,999999,1336,113
1671,Virtual Villagers 3: The Secret City,2577,999,999999,9218,1638
1672,Epic Space: Online,406,2499,999999,1383,136
1673,Cubicle Quest,113,249,999999,6913,3
1674,Prison Tycoon Alcatraz,38,499,999999,566,159
1675,Snowcat Simulator,204,271,999999,6683,25
1676,Silent Service 2,224,349,999999,7374,12
1677,Sky Gamblers: Storm Raiders,162,999,999999,4148,308
1678,Sirius Online,17,749,999999,3687,30
1679,Astronaut Simulator,77,599,999999,1670,22
1680,Governor of Poker 2: Premium Edition,1711,1999,999999,28576,3055
1681,PT Boats: Knights of the Sea,1329,499,999999,9909,252
1682,Earthtongue,52,499,999999,668,27
1683,Starlite: Astronaut Rescue,507,299,999999,7835,27
1684,Dandelion - Wishes brought to you -,262,2999,999999,4148,2026
1685,Beyond Space,365,99,999999,26271,138
1686,Paranormal,644,849,999999,38715,210
1687,18 Wheels of Steel: Extreme Trucker,999999,1249,999999,38715,513
1688,Rage Runner,398,99,999999,14979,238
1689,1931: Scheherazade at the Library of Pergamum,84,624,999999,1613,29
1690,Bus-Simulator 2012,573,439,999999,21662,633
1691,Autocraft,246,339,999999,13827,408
1692,Plush,125,199,999999,1670,47
1693,Trainz: A New Era,35,3599,999999,3339,1009
1694,Balls of Steel,409,599,999999,5070,3
1695,Dead Sea,85,374,999999,1613,105
1696,Catlateral Damage,22,899,999999,7144,56
1697,Heileen 3: New Horizons,336,874,999999,19358,432
1698,Rolling Sun,15,899,999999,668,15
1699,Blue Rose,56,1399,999999,7144,121
1700,Helicopter Simulator 2014: Search and Rescue,475,349,999999,41250,59
1701,Command: Modern Air / Naval Operations WOTY,265,5999,999999,5761,1243
1702,Pirates! Gold Plus (Classic),252,349,999999,11753,13
1703,NoLimits 2 Roller Coaster Simulation,301,3399,999999,3687,1914
1704,Silent Hunter 5: Battle of the Atlantic,1935,599,999999,67983,2934
1705,Tea Party Simulator 2015™,56,749,999999,2074,148
1706,Recovery Search and Rescue Simulation,525,749,999999,8988,100
1707,Air Guardians,141,197,999999,16823,17
1708,Mining Industry,202,1499,999999,3457,923
1709,Lunar Flight,1164,499,999999,119834,245
1710,Starlight Inception,422,999,999999,5531,55
1711,Asteroids: Outpost,84,2999,999999,2535,106
1712,Seduce Me the Otome,14,0,999999,29267,346
1713,Professional Farmer 2014,568,509,999999,179981,833
1714,Flower Shop: Summer In Fairbrook,398,749,999999,15671,240
1715,Roommates,246,1249,999999,41020,319
1716,Artemis Spaceship Bridge Simulator,640,699,999999,46320,344
1717,Sword of the Samurai,244,349,999999,8296,151
1718,Home Improvisation,21,999,999999,668,29
1719,Theme Park Studio,476,1979,999999,15671,2108
1720,Wild Season,62,2699,999999,1336,200
1721,LUDWIG,377,999,999999,33185,105
1722,Always Remember Me,426,899,999999,18897,331
1723,Dark Horizons: Mechanized Corps,331,1004,999999,2304,28
1724,Bridge Creator 2015,143,1299,999999,566,5
1725,Flashout 2,377,249,999999,13136,50
1726,F-16 Multirole Fighter,2191,499,999999,11522,426
1727,Barbie™ Dreamhouse Party™,576,999,999999,5761,538
1728,World of Subways 1 – The Path,225,999,999999,1002,129
1729,Drifter,471,1199,999999,11753,531
1730,Crypt of the NecroDancer,56,989,98,211322,1157
1731,LISA,185,499,98,21662,715
1732,Nuclear Throne,615,1299,98,126286,1708
1733,Crawl,316,999,98,35028,435
1734,Mass Effect 2,1969,999,97,1328080,4143
1735,Borderlands 2,1004,499,97,5025410,6311
1736,Bastion,1402,749,97,1979560,556
1737,Terraria,1494,499,97,5949511,6016
1738,Recettear: An Item Shop's Tale,1742,999,97,409278,1240
1739,To the Moon,1014,249,97,794359,250
1740,Mount & Blade: Warband,1905,399,97,1824468,9512
1741,Choice of Robots,181,299,97,17284,851
1742,Epic Battle Fantasy 4,478,359,97,51621,1751
1743,South Park™: The Stick of Truth™,472,2399,97,1117449,1616
1744,Fallout: New Vegas,1703,499,96,3560212,5908
1745,The Binding of Isaac,1359,499,96,2627123,3316
1746,Transistor,394,499,96,531186,510
1747,Ys Origin,1113,999,96,209248,857
1748,One Way Heroics,475,87,96,257642,420
1749,Dust: An Elysian Tail,755,509,96,963278,656
1750,Castle Crashers,995,149,96,2260478,757
1751,BioShock,2858,679,95,2658694,728
1752,The Elder Scrolls IV: Oblivion,2193,999,95,1381314,2559
1753,System Shock 2,769,249,95,588568,347
1754,Sid Meier's Pirates!,3629,249,95,486479,1010
1755,Torchlight II,1001,799,95,2900205,2451
1756,Rogue Legacy,721,509,95,1052923,1456
1757,Legend of Grimrock,1163,509,95,883312,921
1758,S.T.A.L.K.E.R.: Shadow of Chernobyl,3012,999,95,848284,1142
1759,S.T.A.L.K.E.R.: Call of Pripyat,1953,999,95,642723,2104
1760,Dungeons of Dredmor,1436,249,95,543169,1727
1761,Risk of Rain,587,399,95,1108692,1456
1762,Ys: The Oath in Felghana,1186,749,95,131817,712
1763,Dark Messiah of Might & Magic Single Player,3158,599,95,862342,732
1764,Dark Messiah of Might & Magic Multi-Player,3158,599,95,862342,415
1765,Unepic,328,649,95,328851,1147
1766,Tales of Maj'Eyal,553,349,95,97941,2048
1767,Darkwood,329,1499,95,35950,532
1768,Dragon Age: Origins - Ultimate Edition,1696,1499,94,959591,3448
1769,The Elder Scrolls III: Morrowind,2193,999,94,851510,1318
1770,Mass Effect,2372,999,94,1186353,2427
1771,Path of Exile,603,0,94,3332067,4208
1772,Fallout 2,2129,499,94,525425,809
1773,Torchlight,2060,599,94,1351355,1656
1774,Borderlands,2061,499,94,2300807,3302
1775,Child of Light,415,374,94,382546,936
1776,Magicka,1605,499,94,3347277,1022
1777,FINAL FANTASY VII,714,839,94,822474,2259
1778,Dragon Age: Origins,2051,999,93,697570,5716
1779,Fallout,2129,499,93,506758,436
1780,The Legend of Heroes: Trails in the Sky,324,1399,93,103933,1817
1781,Fable - The Lost Chapters,1277,999,93,639958,1040
1782,Overlord,2044,124,93,895065,611
1783,PAYDAY 2,674,899,93,4331757,4752
1784,Cthulhu Saves the World,1436,44,93,537638,246
1785,Hand Of Fate,121,1674,93,116607,623
1786,Legend of Grimrock 2,246,1199,93,129282,1950
1787,Grim Dawn,590,1624,93,146105,2604
1788,The Witcher 3: Wild Hunt,31,5399,92,610691,4144
1789,Titan Quest: Immortal Throne,2893,749,92,932398,2737
1790,FATE,553,799,92,76279,618
1791,Ziggurat,238,749,92,102089,441
1792,Delver,650,799,92,120064,207
1793,Magicite,374,669,92,269626,1105
1794,Shoot Many Robots,1168,599,92,102089,930
1795,Costume Quest,1343,339,92,399369,458
1796,Tree of Life: Beginning of a Journey,22,1999,92,30880,2845
1797,Deus Ex: Human Revolution - Director's Cut,601,999,91,990702,1539
1798,Pillars of Eternity,84,3374,91,389229,3349
1799,Dying Light,142,5399,91,676369,2939
1800,Mount & Blade,2418,199,91,801272,1905
1801,FINAL FANTASY VIII,560,839,91,386924,2700
1802,Starbound,561,1004,91,1868253,4520
1803,Star Wars: Knights of the Old Republic,2112,999,90,1787135,1256
1804,FINAL FANTASY XIV: A Realm Reborn,485,0,90,252573,15254
1805,Divine Divinity,1078,150,90,342217,1031
1806,Darksiders II,1039,1499,90,1451601,1523
1807,Hammerwatch,675,339,90,731677,532
1808,The Elder Scrolls V: Skyrim,1316,999,89,8908942,11241
1809,The Witcher 2: Assassins of Kings Enhanced Edition,1158,299,89,3149321,1437
1810,Star Wars: Knights of the Old Republic II,1029,999,89,1230369,1618
1811,Eldritch,605,194,89,177216,153
1812,The Ship,3264,249,89,985632,354
1813,"10,000,000",884,499,89,95867,740
1814,Hero of the Kingdom,581,299,89,71670,325
1815,Lili: Child of Geos,405,199,89,44477,207
1816,Full Mojo Rampage,406,649,89,261330,320
1817,Magical Diary,1113,749,89,75126,659
1818,DARK SOULS™ II,419,3999,88,1007755,7922
1819,Dark Souls: Prepare to Die Edition,1029,679,88,1947528,4138
1820,Kingdoms of Amalur: Reckoning™,1227,999,88,704023,2411
1821,Half Minute Hero: Super Mega Neo Climax Ultimate Boy,994,249,88,400751,215
1822,Fahrenheit: Indigo Prophecy Remastered,141,499,88,43324,452
1823,Dead Pixels,923,101,88,190582,208
1824,EVE Online,1646,999,87,317790,13840
1825,Valdis Story: Abyssal City,596,749,87,139422,734
1826,Overlord II,2185,249,87,811643,1007
1827,Risen,2085,499,87,627053,1249
1828,Titan Quest,2893,749,87,1449527,551
1829,Fight The Dragon,196,899,87,65678,743
1830,Windward,37,1274,87,59917,1211
1831,Dragon Nest,912,0,87,316177,2544
1832,Fallout 3 - Game of the Year Edition,2009,1199,86,1536406,1832
1833,The Witcher: Enhanced Edition,2463,149,86,2098242,1506
1834,Dead Island,999999,999,86,2903662,1845
1835,S.T.A.L.K.E.R.: Clear Sky,2467,499,86,456520,1632
1836,The Secret World,1044,1499,86,272852,5217
1837,Sequence,1337,124,86,176294,418
1838,Mount & Blade: With Fire and Sword,1507,199,86,1006142,2448
1839,A Bird Story,223,199,86,92871,118
1840,Dead Island Riptide,787,999,86,1133350,1443
1841,Knights of Pen and Paper +1,730,249,86,347287,650
1842,Ys II,854,749,86,148179,413
1843,Divinity II: Developer's Cut,962,499,86,552387,904
1844,Breath of Death VII,1436,44,86,493162,140
1845,Ys I,854,749,86,148179,404
1846,Heroine's Quest: The Herald of Ragnarok,455,0,86,166615,254
1847,DC Universe Online,1324,0,85,1989239,2536
1848,Spiral Knights,1465,0,85,1642643,3220
1849,Rust,554,1999,85,2611683,6547
1850,Elsword,351,0,85,612534,2333
1851,Fallout 3,2424,499,84,421953,2031
1852,Sunless Sea,132,1139,84,131356,1322
1853,FINAL FANTASY III,387,1119,84,100476,1233
1854,Evoland,805,499,84,337378,313
1855,How to Survive,293,74,84,763940,619
1856,DARK SOULS™ II: Scholar of the First Sin,78,2499,84,210631,3551
1857,Sacred Gold,2535,149,83,124673,918
1858,The Last Remnant,2261,499,83,632353,2630
1859,Aura Kingdom,352,0,83,1261941,1158
1860,7 Days to Die,552,999,83,1088412,4130
1861,The Lord of the Rings Online™,1107,0,82,1178979,3005
1862,RIFT,1570,0,82,1780682,5421
1863,Gothic II: Gold Edition,999999,499,82,216622,1002
1864,TERA,44,0,82,1428786,1458
1865,Neverwinter,560,0,82,2870477,2510
1866,Alpha Protocol,1843,749,82,429558,913
1867,MURDERED: SOUL SUSPECT™,380,599,82,410661,454
1868,Hero Siege,505,149,82,314102,819
1869,E.Y.E: Divine Cybermancy,1420,399,82,579580,549
1870,Dysfunctional Systems: Learning to Manage Chaos,630,249,82,51851,140
1871,Memories of a Vagabond,346,149,82,189199,159
1872,Rising World,197,1274,82,41250,721
1873,Marvel Heroes 2015,745,0,81,2631962,3442
1874,Gothic,5208,999,81,170302,458
1875,Ragnarok,595,0,81,284144,1448
1876,Crimsonland,372,489,81,35950,1152
1877,Destination Sol,133,0,81,227914,46
1878,Realm of the Mad God,1214,0,80,1796814,1941
1879,Borderlands: The Pre-Sequel,248,1979,80,838144,3752
1880,The Yawhg,476,499,80,58765,140
1881,Star Trek Online,1234,0,79,998307,8015
1882,Champions Online: Free For All,1465,0,79,429558,4556
1883,Enclave,622,499,79,859346,142
1884,The Lord of the Rings: War in the North,1325,999,79,1339141,950
1885,Defiance,379,0,79,2307950,1908
1886,Gothic 3,2024,499,79,251420,1423
1887,Dragons and Titans,463,0,79,628666,752
1888,C9,1008,0,79,350744,810
1889,Dungeon Siege,1535,174,78,317790,501
1890,Mercenary Kings,450,899,78,145414,801
1891,Dungeons & Dragons Online�,1088,0,78,358579,3052
1892,EverQuest II,1289,0,77,312489,3335
1893,Always Sometimes Monsters,393,249,77,354892,352
1894,Global Agenda,1465,0,77,391303,6354
1895,Risen 2 - Dark Waters,1148,999,77,1005912,1904
1896,GRAV,161,1399,77,86419,951
1897,FORCED,602,224,76,339682,409
1898,Grand Chase,336,0,76,421722,801
1899,Eldevin,225,0,76,227684,605
1900,The Elder Scrolls Online: Tamriel Unlimited,93,5999,76,196112,5220
1901,Paranautical Activity: Deluxe Atonement Edition,241,299,76,186664,227
1902,Forsaken World,1465,0,75,204409,8416
1903,Dragon's Prophet (EU),638,0,75,129513,2208
1904,Legend of Dungeon,643,299,75,213857,302
1905,Gauntlet™,268,999,75,360653,658
1906,Jade Empire: Special Edition,3033,749,74,190582,833
1907,Risen 3 - Titan Lords,310,1499,74,92410,3206
1908,Mars: War Logs,783,749,74,143340,635
1909,Ascend: Hand of Kul,394,0,74,412965,436
1910,FINAL FANTASY XIII-2,189,1399,73,162467,1524
1911,FINAL FANTASY XIII,252,1119,73,330695,2126
1912,ARK: Survival Evolved,16,2489,73,539943,1839
1913,Firefall,324,0,72,2305876,1207
1914,Game of Thrones,1106,679,72,429558,642
1915,The Repopulation,178,1499,72,36872,1347
1916,MapleStory,1043,0,72,305806,4425
1917,The Ship Single Player,3132,0,70,948299,143
1918,Sacred 2 Gold,909,749,70,703792,817
1919,Might & Magic X - Legacy,511,1499,69,160854,3633
1920,Fable Anniversary,279,874,69,148179,1241
1921,Marvel Puzzle Quest,560,0,69,215701,7711
1922,Lichdom: Battlemage,296,799,67,119373,525
1923,Two Worlds: Epic Edition,2240,249,67,586263,506
1924,Bound By Flame,406,749,67,77661,1006
1925,Guns and Robots,318,0,67,748730,225
1926,Modular Combat,90,0,67,406743,211
1927,DARK BLOOD ONLINE,331,0,66,341756,854
1928,Royal Quest,316,0,66,498001,1041
1929,Kingdoms Rise,577,1499,65,54847,238
1930,Velvet Sundown,331,0,65,399138,113
1931,Ragnarok Online 2,778,0,64,736286,2806
1932,Dungeon Siege III,1459,374,63,676369,1156
1933,Prime World,444,0,63,355814,3644
1934,Running Shadow,118,0,63,263865,122
1935,Two Worlds II,1596,499,62,506528,1345
1936,La Tale,366,0,62,485787,402
1937,Champions of Regnum,841,0,62,237363,1525
1938,8BitMMO,143,0,62,617835,129
1939,City of Steam: Arkadia,469,0,62,229297,1045
1940,ArcheAge,84,0,61,475878,3803
1941,Landmark,401,0,61,98171,1647
1942,Lords Of The Fallen,233,2499,60,221001,1052
1943,Fallen Earth,1212,0,59,1191654,1056
1944,X-Blades,2240,999,59,120295,206
1945,Edge of Space,720,714,58,160623,441
1946,CrimeCraft GangWars,1396,0,56,408356,947
1947,RaiderZ,520,0,56,401212,541
1948,Villagers and Heroes,427,0,56,376785,420
1949,Survarium,77,0,53,1393066,224
1950,ArcaniA,1707,999,48,332308,758
1951,School of Dragons: How to Train Your Dragon,196,0,48,698031,253
1952,sZone-Online,171,0,48,708171,157
1953,"Hack, Slash, Loot",1169,524,48,158319,324
1954,DARK,715,3999,43,58304,327
1955,Deus Ex: The Fall,458,499,29,319633,326
1956,Sacred 3,317,999,18,64065,559
1957,The Longest Journey,2970,499,999999,176755,652
1958,Wizardry 8,646,249,999999,74435,1149
1959,Puzzle Quest 2,1771,999,999999,62682,2744
1960,King's Bounty: Armored Princess,2037,199,999999,304424,1931
1961,Dragon Age: Origins - Awakening,1920,999,999999,134582,29
1962,Dangerous High School Girls in Trouble!,2306,659,999999,40559,404
1963,Dungeon Siege 2,3593,174,999999,324012,618
1964,SpellForce 2: Gold Edition,2058,749,999999,114994,1016
1965,Half Minute Hero: The Second Coming,440,249,999999,49086,459
1966,Joe Dever's Lone Wolf HD Remastered,203,749,999999,11983,539
1967,DeathSpank: Thongs Of Virtue,1661,1499,999999,96558,831
1968,Dex,42,1699,999999,10370,149
1969,Summoner,463,249,999999,97480,507
1970,Apotheon,135,374,999999,38946,341
1971,Anachronox,609,174,999999,231371,422
1972,Arx Fatalis,2998,249,999999,91488,311
1973,DeathSpank,1697,749,999999,128360,510
1974,Castle In The Darkness,133,497,999999,19588,516
1975,Din's Curse,1030,399,999999,12675,1104
1976,Eschalon: Book 1,2319,299,999999,38485,914
1977,Avadon: The Black Fortress,1401,299,999999,215470,716
1978,Drakensang,2292,999,999999,53464,1812
1979,Ring Runner: Flight of the Sages,576,249,999999,80657,302
1980,Dreamfall: The Longest Journey,3079,999,999999,106237,857
1981,Our Darker Purpose,505,299,999999,57612,829
1982,Drox Operative,485,799,999999,9448,1104
1983,Shadows: Heretic Kingdoms,210,999,999999,21201,709
1984,Age of Wushu,448,0,999999,51390,847
1985,SpellForce: Platinum Edition,2053,499,999999,93793,3531
1986,Oceanhorn: Monster of Uncharted Seas,93,1004,999999,15671,409
1987,Driftmoon,531,1499,999999,39176,251
1988,Beyond Divinity,962,149,999999,289675,223
1989,Paper Sorcerer,512,249,999999,71209,533
1990,Pier Solar and the Great Architects,262,749,999999,31802,320
1991,Sherlock Holmes versus Jack the Ripper,2003,499,999999,78122,633
1992,Puzzle Quest: Galactrix,2305,999,999999,35259,635
1993,Septerra Core,629,499,999999,89875,324
1994,Gyromancer,2038,299,999999,54847,828
1995,Sherlock Holmes: Nemesis,2506,499,999999,70287,727
1996,Soulbringer,462,149,999999,47703,225
1997,Of Orcs And Men,980,1019,999999,111537,525
1998,Runespell: Overture,1429,499,999999,103241,424
1999,Costume Quest 2,254,509,999999,24889,552
2000,Avencast,1919,249,999999,239437,236
2001,Runers,289,339,999999,17514,922
2002,Rollers of the Realm,212,399,999999,31802,410
2003,Eschalon: Book 3,489,749,999999,17053,1418
2004,Last Word,41,699,999999,1844,415
2005,Hot Tin Roof: The Cat That Wore A Fedora,118,1124,999999,1670,43
2006,Unrest,330,374,999999,11983,233
2007,Citizens of Earth,149,749,999999,7144,732
2008,Serious Sam: The Random Encounter,1333,74,999999,341296,31
2009,Inquisitor,686,339,999999,84344,513
2010,Quest for Infamy,343,999,999999,21432,243
2011,The Baconing,1387,1499,999999,124443,305
2012,The Weaponographist,50,749,999999,1131,133
2013,Silverfall,3012,339,999999,33185,421
2014,Chantelise,1420,499,999999,165232,227
2015,Vigil: Blood Bitterness,2911,0,999999,59917,27
2016,Venetica,146,499,999999,20971,428
2017,Space Siege,2499,749,999999,43094,453
2018,Rise of the Argonauts,2353,249,999999,310876,315
2019,Legend: Hand of God,2235,999,999999,4609,1241
2020,Two Brothers,562,1499,999999,76048,43
2021,Windforge,464,749,999999,73744,625
2022,Akaneiro: Demon Hunters,205,499,999999,19588,217
2023,Majestic Nights,231,299,999999,17975,117
2024,Legends of Dawn,721,599,999999,27423,405
2025,Raven's Cry,139,5499,999999,3226,1106
2026,Tkl Online,142,599,999999,566,15
2027,FINAL FANTASY IV,274,1119,999999,83423,1647
2028,Time Ramesside,50,1049,999999,18666,210
2029,Siralim,55,669,999999,4609,539
2030,Odyssey Reborn,80,0,999999,18897,33
2031,Grand Class Melee 2,136,669,999999,8066,203
2032,Darkstone,266,124,999999,16592,122
2033,Forsaken Isle,132,719,999999,2304,805
2034,Darklands,244,349,999999,5070,959
2035,Avernum 6,1133,149,999999,63604,942
2036,Wanderlust: Rebirth,1056,399,999999,190582,450
2037,You Are Not The Hero,16,1499,999999,1131,56
2038,Thieves' Gambit: Curse of the Black Cat,244,179,999999,1336,218
2039,Dark Scavenger,398,169,999999,21662,215
2040,Vagrant Hearts 2,29,299,999999,668,19
